ano,mes,delegacia,populacao,densidade_demografica,idh,furtos,roubos,homicidios_dolosos,lesao_corporal,estelionato,trafico_drogas,total_ocorrencias,trimestre,taxa_por_100k,mes_sin,mes_cos
2018,1,Centro,371000,14200,0.84,132,84,2,67,43,38,434,1,116.9811320754717,0.49999999999999994,0.8660254037844387
2018,2,Centro,371000,14200,0.84,132,103,2,57,43,34,439,1,118.3288409703504,0.8660254037844386,0.5000000000000001
2018,3,Centro,371000,14200,0.84,121,93,4,61,44,34,459,1,123.71967654986524,1.0,6.123233995736766e-17
2018,4,Centro,371000,14200,0.84,139,117,4,57,51,57,521,2,140.43126684636118,0.8660254037844387,-0.4999999999999998
2018,5,Centro,371000,14200,0.84,171,123,4,76,51,43,575,2,154.98652291105122,0.49999999999999994,-0.8660254037844387
2018,6,Centro,371000,14200,0.84,156,112,4,63,60,56,560,2,150.94339622641508,1.2246467991473532e-16,-1.0
2018,7,Centro,371000,14200,0.84,161,112,4,49,42,42,506,3,136.38814016172506,-0.4999999999999997,-0.8660254037844388
2018,8,Centro,371000,14200,0.84,160,107,3,64,49,43,503,3,135.57951482479785,-0.8660254037844384,-0.5000000000000004
2018,9,Centro,371000,14200,0.84,115,112,2,68,47,39,449,3,121.02425876010781,-1.0,-1.8369701987210297e-16
2018,10,Centro,371000,14200,0.84,119,104,3,64,35,29,426,4,114.82479784366576,-0.8660254037844386,0.5000000000000001
2018,11,Centro,371000,14200,0.84,133,79,2,38,37,30,386,4,104.04312668463612,-0.5000000000000004,0.8660254037844384
2018,12,Centro,371000,14200,0.84,132,79,3,60,51,44,454,4,122.37196765498652,-2.4492935982947064e-16,1.0
2019,1,Centro,371000,14200,0.84,117,104,2,55,49,32,429,1,115.63342318059298,0.49999999999999994,0.8660254037844387
2019,2,Centro,371000,14200,0.84,139,112,4,61,59,36,512,1,138.0053908355795,0.8660254037844386,0.5000000000000001
2019,3,Centro,371000,14200,0.84,148,96,3,58,59,39,480,1,129.3800539083558,1.0,6.123233995736766e-17
2019,4,Centro,371000,14200,0.84,158,123,3,68,55,44,538,2,145.0134770889488,0.8660254037844387,-0.4999999999999998
2019,5,Centro,371000,14200,0.84,168,131,3,76,47,53,573,2,154.44743935309975,0.49999999999999994,-0.8660254037844387
2019,6,Centro,371000,14200,0.84,188,101,3,81,49,42,559,2,150.67385444743937,1.2246467991473532e-16,-1.0
2019,7,Centro,371000,14200,0.84,149,98,3,73,63,34,513,3,138.27493261455527,-0.4999999999999997,-0.8660254037844388
2019,8,Centro,371000,14200,0.84,169,132,3,52,49,41,541,3,145.822102425876,-0.8660254037844384,-0.5000000000000004
2019,9,Centro,371000,14200,0.84,130,105,3,52,44,45,453,3,122.10242587601077,-1.0,-1.8369701987210297e-16
2019,10,Centro,371000,14200,0.84,154,86,3,56,45,37,473,4,127.4932614555256,-0.8660254037844386,0.5000000000000001
2019,11,Centro,371000,14200,0.84,152,101,3,58,55,29,479,4,129.11051212938006,-0.5000000000000004,0.8660254037844384
2019,12,Centro,371000,14200,0.84,143,97,2,52,38,32,433,4,116.71159029649596,-2.4492935982947064e-16,1.0
2020,1,Centro,371000,14200,0.84,134,93,3,52,42,50,447,1,120.48517520215634,0.49999999999999994,0.8660254037844387
2020,2,Centro,371000,14200,0.84,114,86,3,46,31,19,377,1,101.61725067385444,0.8660254037844386,0.5000000000000001
2020,3,Centro,371000,14200,0.84,128,88,3,43,45,48,443,1,119.40700808625337,1.0,6.123233995736766e-17
2020,4,Centro,371000,14200,0.84,142,120,3,60,43,43,504,2,135.8490566037736,0.8660254037844387,-0.4999999999999998
2020,5,Centro,371000,14200,0.84,165,128,2,61,43,51,521,2,140.43126684636118,0.49999999999999994,-0.8660254037844387
2020,6,Centro,371000,14200,0.84,177,131,3,72,57,36,570,2,153.6388140161725,1.2246467991473532e-16,-1.0
2020,7,Centro,371000,14200,0.84,146,91,3,51,47,24,434,3,116.9811320754717,-0.4999999999999997,-0.8660254037844388
2020,8,Centro,371000,14200,0.84,171,121,4,66,54,36,566,3,152.56064690026955,-0.8660254037844384,-0.5000000000000004
2020,9,Centro,371000,14200,0.84,89,106,3,45,34,30,386,3,104.04312668463612,-1.0,-1.8369701987210297e-16
2020,10,Centro,371000,14200,0.84,168,93,3,48,60,36,480,4,129.3800539083558,-0.8660254037844386,0.5000000000000001
2020,11,Centro,371000,14200,0.84,115,109,2,44,31,37,408,4,109.97304582210242,-0.5000000000000004,0.8660254037844384
2020,12,Centro,371000,14200,0.84,120,90,3,41,29,37,392,4,105.66037735849056,-2.4492935982947064e-16,1.0
2021,1,Centro,371000,14200,0.84,90,75,1,48,46,33,333,1,89.75741239892183,0.49999999999999994,0.8660254037844387
2021,2,Centro,371000,14200,0.84,123,102,3,39,38,45,430,1,115.90296495956873,0.8660254037844386,0.5000000000000001
2021,3,Centro,371000,14200,0.84,119,90,3,63,47,26,440,1,118.59838274932615,1.0,6.123233995736766e-17
2021,4,Centro,371000,14200,0.84,115,101,2,50,43,40,423,2,114.01617250673854,0.8660254037844387,-0.4999999999999998
2021,5,Centro,371000,14200,0.84,124,115,3,67,49,41,490,2,132.0754716981132,0.49999999999999994,-0.8660254037844387
2021,6,Centro,371000,14200,0.84,174,115,4,76,58,49,575,2,154.98652291105122,1.2246467991473532e-16,-1.0
2021,7,Centro,371000,14200,0.84,144,114,3,56,49,30,477,3,128.57142857142856,-0.4999999999999997,-0.8660254037844388
2021,8,Centro,371000,14200,0.84,133,106,3,59,42,40,464,3,125.06738544474393,-0.8660254037844384,-0.5000000000000004
2021,9,Centro,371000,14200,0.84,161,114,3,53,34,38,482,3,129.9191374663073,-1.0,-1.8369701987210297e-16
