delegacia,mes,total_ocorrencias_real,previsao_ocorrencias,erro_absoluto,erro_%
Centro,1,278,457,179,64.39
Centro,2,297,458,161,54.21
Centro,3,340,460,120,35.29
Centro,4,382,459,77,20.16
Centro,5,390,460,70,17.95
Centro,6,338,460,122,36.09
Centro,7,317,458,141,44.48
Centro,8,285,458,173,60.7
Centro,9,286,458,172,60.14
Centro,10,263,456,193,73.38
Centro,11,277,456,179,64.62
Centro,12,302,457,155,51.32
Sé,1,118,197,79,66.95
Sé,2,129,198,69,53.49
Sé,3,141,200,59,41.84
Sé,4,175,199,24,13.71
Sé,5,146,200,54,36.99
Sé,6,158,200,42,26.58
Sé,7,144,198,54,37.5
Sé,8,163,198,35,21.47
Sé,9,141,198,57,40.43
Sé,10,131,196,65,49.62
Sé,11,104,197,93,89.42
Sé,12,90,197,107,118.89
Brás,1,100,154,54,54.0
Brás,2,86,156,70,81.4
Brás,3,124,157,33,26.61
Brás,4,111,156,45,40.54
Brás,5,107,157,50,46.73
Brás,6,140,157,17,12.14
Brás,7,136,156,20,14.71
Brás,8,110,156,46,41.82
Brás,9,98,155,57,58.16
Brás,10,99,154,55,55.56
Brás,11,83,154,71,85.54
Brás,12,109,155,46,42.2
Lapa,1,67,101,34,50.75
Lapa,2,60,102,42,70.0
Lapa,3,73,103,30,41.1
Lapa,4,86,103,17,19.77
Lapa,5,89,103,14,15.73
Lapa,6,74,104,30,40.54
Lapa,7,81,102,21,25.93
Lapa,8,64,102,38,59.38
Lapa,9,77,102,25,32.47
Lapa,10,48,100,52,108.33
Lapa,11,68,100,32,47.06
Lapa,12,67,101,34,50.75
Pinheiros,1,55,81,26,47.27
Pinheiros,2,50,82,32,64.0
Pinheiros,3,54,84,30,55.56
Pinheiros,4,70,83,13,18.57
Pinheiros,5,68,84,16,23.53
Pinheiros,6,62,84,22,35.48
Pinheiros,7,63,82,19,30.16
Pinheiros,8,66,82,16,24.24
Pinheiros,9,48,82,34,70.83
Pinheiros,10,46,80,34,73.91
Pinheiros,11,53,80,27,50.94
Pinheiros,12,35,81,46,131.43
Vila Mariana,1,81,125,44,54.32
Vila Mariana,2,71,126,55,77.46
Vila Mariana,3,104,128,24,23.08
Vila Mariana,4,91,127,36,39.56
Vila Mariana,5,86,128,42,48.84
Vila Mariana,6,104,128,24,23.08
Vila Mariana,7,80,126,46,57.5
Vila Mariana,8,99,126,27,27.27
Vila Mariana,9,77,126,49,63.64
Vila Mariana,10,88,124,36,40.91
Vila Mariana,11,72,125,53,73.61
Vila Mariana,12,96,125,29,30.21
Ipiranga,1,67,119,52,77.61
Ipiranga,2,72,120,48,66.67
Ipiranga,3,69,122,53,76.81
Ipiranga,4,85,121,36,42.35
Ipiranga,5,86,122,36,41.86
Ipiranga,6,105,122,17,16.19
Ipiranga,7,78,120,42,53.85
Ipiranga,8,96,120,24,25.0
Ipiranga,9,79,120,41,51.9
Ipiranga,10,83,118,35,42.17
Ipiranga,11,64,119,55,85.94
Ipiranga,12,72,119,47,65.28
Santo André,1,320,540,220,68.75
Santo André,2,396,541,145,36.62
Santo André,3,433,542,109,25.17
Santo André,4,321,542,221,68.85
Santo André,5,460,542,82,17.83
Santo André,6,505,543,38,7.52
Santo André,7,443,541,98,22.12
Santo André,8,394,541,147,37.31
Santo André,9,368,541,173,47.01
Santo André,10,357,539,182,50.98
Santo André,11,429,539,110,25.64
Santo André,12,352,540,188,53.41
Guarulhos,1,526,881,355,67.49
Guarulhos,2,540,882,342,63.33
Guarulhos,3,569,884,315,55.36
Guarulhos,4,610,883,273,44.75
Guarulhos,5,700,884,184,26.29
Guarulhos,6,718,884,166,23.12
Guarulhos,7,837,882,45,5.38
Guarulhos,8,609,882,273,44.83
Guarulhos,9,586,882,296,50.51
Guarulhos,10,609,880,271,44.5
Guarulhos,11,508,881,373,73.43
Guarulhos,12,472,881,409,86.65
Osasco,1,403,657,254,63.03
Osasco,2,422,659,237,56.16
Osasco,3,427,660,233,54.57
Osasco,4,450,659,209,46.44
Osasco,5,548,660,112,20.44
Osasco,6,567,660,93,16.4
Osasco,7,602,659,57,9.47
Osasco,8,462,658,196,42.42
Osasco,9,391,658,267,68.29
Osasco,10,457,657,200,43.76
Osasco,11,379,657,278,73.35
Osasco,12,438,658,220,50.23
São Bernardo,1,360,582,222,61.67
São Bernardo,2,495,583,88,17.78
São Bernardo,3,443,584,141,31.83
São Bernardo,4,467,584,117,25.05
São Bernardo,5,517,584,67,12.96
São Bernardo,6,484,585,101,20.87
São Bernardo,7,463,583,120,25.92
São Bernardo,8,522,583,61,11.69
São Bernardo,9,359,583,224,62.4
São Bernardo,10,381,581,200,52.49
São Bernardo,11,373,581,208,55.76
São Bernardo,12,313,582,269,85.94
Mauá,1,261,450,189,72.41
Mauá,2,272,452,180,66.18
Mauá,3,263,453,190,72.24
Mauá,4,389,452,63,16.2
Mauá,5,372,453,81,21.77
Mauá,6,378,453,75,19.84
Mauá,7,368,452,84,22.83
Mauá,8,369,451,82,22.22
Mauá,9,272,451,179,65.81
Mauá,10,278,450,172,61.87
Mauá,11,265,450,185,69.81
Mauá,12,335,451,116,34.63
Diadema,1,254,490,236,92.91
Diadema,2,317,491,174,54.89
Diadema,3,345,492,147,42.61
Diadema,4,404,492,88,21.78
Diadema,5,438,492,54,12.33
Diadema,6,406,493,87,21.43
Diadema,7,413,491,78,18.89
Diadema,8,379,491,112,29.55
Diadema,9,324,491,167,51.54
Diadema,10,336,489,153,45.54
Diadema,11,322,489,167,51.86
Diadema,12,262,490,228,87.02
Carapicuíba,1,295,460,165,55.93
Carapicuíba,2,332,461,129,38.86
Carapicuíba,3,307,462,155,50.49
Carapicuíba,4,332,461,129,38.86
Carapicuíba,5,409,462,53,12.96
