ano,mes,mes_sin,mes_cos,trimestre,delegacia_enc,populacao,densidade_demografica,idh,furtos,roubos,lesao_corporal,estelionato,trafico_drogas,delegacia,previsao_ocorrencias
2024,1,0.49999999999999994,0.8660254037844387,1,3,371000,14200,0.84,136,101,56,47,37,Centro,457
2024,2,0.8660254037844386,0.5000000000000001,1,3,371000,14200,0.84,136,101,56,47,37,Centro,458
2024,3,1.0,6.123233995736766e-17,1,3,371000,14200,0.84,136,101,56,47,37,Centro,460
2024,4,0.8660254037844387,-0.4999999999999998,2,3,371000,14200,0.84,136,101,56,47,37,Centro,459
2024,5,0.49999999999999994,-0.8660254037844387,2,3,371000,14200,0.84,136,101,56,47,37,Centro,460
2024,6,1.2246467991473532e-16,-1.0,2,3,371000,14200,0.84,136,101,56,47,37,Centro,460
2024,7,-0.4999999999999997,-0.8660254037844388,3,3,371000,14200,0.84,136,101,56,47,37,Centro,458
2024,8,-0.8660254037844384,-0.5000000000000004,3,3,371000,14200,0.84,136,101,56,47,37,Centro,458
2024,9,-1.0,-1.8369701987210297e-16,3,3,371000,14200,0.84,136,101,56,47,37,Centro,458
2024,10,-0.8660254037844386,0.5000000000000001,4,3,371000,14200,0.84,136,101,56,47,37,Centro,456
2024,11,-0.5000000000000004,0.8660254037844384,4,3,371000,14200,0.84,136,101,56,47,37,Centro,456
2024,12,-2.4492935982947064e-16,1.0,4,3,371000,14200,0.84,136,101,56,47,37,Centro,457
2024,1,0.49999999999999994,0.8660254037844387,1,17,23000,15000,0.82,60,43,24,21,16,Sé,197
2024,2,0.8660254037844386,0.5000000000000001,1,17,23000,15000,0.82,60,43,24,21,16,Sé,198
2024,3,1.0,6.123233995736766e-17,1,17,23000,15000,0.82,60,43,24,21,16,Sé,200
2024,4,0.8660254037844387,-0.4999999999999998,2,17,23000,15000,0.82,60,43,24,21,16,Sé,199
2024,5,0.49999999999999994,-0.8660254037844387,2,17,23000,15000,0.82,60,43,24,21,16,Sé,200
2024,6,1.2246467991473532e-16,-1.0,2,17,23000,15000,0.82,60,43,24,21,16,Sé,200
2024,7,-0.4999999999999997,-0.8660254037844388,3,17,23000,15000,0.82,60,43,24,21,16,Sé,198
2024,8,-0.8660254037844384,-0.5000000000000004,3,17,23000,15000,0.82,60,43,24,21,16,Sé,198
2024,9,-1.0,-1.8369701987210297e-16,3,17,23000,15000,0.82,60,43,24,21,16,Sé,198
2024,10,-0.8660254037844386,0.5000000000000001,4,17,23000,15000,0.82,60,43,24,21,16,Sé,196
2024,11,-0.5000000000000004,0.8660254037844384,4,17,23000,15000,0.82,60,43,24,21,16,Sé,197
2024,12,-2.4492935982947064e-16,1.0,4,17,23000,15000,0.82,60,43,24,21,16,Sé,197
2024,1,0.49999999999999994,0.8660254037844387,1,0,31000,12000,0.78,46,33,19,16,13,Brás,154
2024,2,0.8660254037844386,0.5000000000000001,1,0,31000,12000,0.78,46,33,19,16,13,Brás,156
2024,3,1.0,6.123233995736766e-17,1,0,31000,12000,0.78,46,33,19,16,13,Brás,157
2024,4,0.8660254037844387,-0.4999999999999998,2,0,31000,12000,0.78,46,33,19,16,13,Brás,156
2024,5,0.49999999999999994,-0.8660254037844387,2,0,31000,12000,0.78,46,33,19,16,13,Brás,157
2024,6,1.2246467991473532e-16,-1.0,2,0,31000,12000,0.78,46,33,19,16,13,Brás,157
2024,7,-0.4999999999999997,-0.8660254037844388,3,0,31000,12000,0.78,46,33,19,16,13,Brás,156
2024,8,-0.8660254037844384,-0.5000000000000004,3,0,31000,12000,0.78,46,33,19,16,13,Brás,156
